Date,StreamOut_Q,HortSroff2Stream_Q,DunnSroff2Stream_Q,Interflow2Stream_Q,Stream2Unsat_Q,StreamExchng2Sat_Q,Canopy_S,SnowPweqv_S,Imperv_S,Dprst_S,Cap_S,Grav_S,Unsat_S,Sat_S,UnsatStream_S,Lake_S,Stream_S,Precip_Q,NetBoundaryFlow2Sat_Q,NetWellFlow_Q,BoundaryStreamFlow_Q,CanopyEvap_Q,SnowEvap_Q,ImpervEvap_Q,DprstEvap_Q,CapET_Q,SwaleEvap_Q,UnsatET_Q,SatET_Q,LakeEvap_Q,DunnInterflow2Lake_Q,HortSroff2Lake_Q,Lake2Unsat_Q,LakeExchng2Sat_Q,SoilDrainage2Unsat_Q,Sat2Grav_Q,RechargeUnsat2Sat_Q,Infil2Soil_Q,KKITER
10/01/1980,  0.1071103E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.9039223E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3489600E+06,  0.5238791E+02,  0.1010473E+08,  0.1732934E+09,  0.8415996E+02,  0.2451476E+07,  0.0000000E+00,  0.0000000E+00, -0.6072087E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.9615185E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1243584E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1188657E+05,  0.2113408E+05,  0.0000000E+00,   11
10/02/1980,  0.1070411E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.9007772E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3599197E+06,  0.5336065E+01,  0.1008371E+08,  0.1732917E+09,  0.7747108E+02,  0.2451549E+07,  0.0000000E+00,  0.0000000E+00, -0.6072017E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.9523535E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1196317E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1186505E+05,  0.2105311E+05,  0.0000000E+00,   18
10/03/1980,  0.1068940E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.9022000E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3707701E+06,  0.1490307E+01,  0.1006278E+08,  0.1732899E+09,  0.1079551E+03,  0.2451606E+07,  0.0000000E+00,  0.0000000E+00, -0.6071817E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.9840692E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1185012E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1183057E+05,  0.2096139E+05,  0.0000000E+00,   23
10/04/1980,  0.1071223E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.8959156E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3815835E+06,  0.3229469E+02,  0.1004195E+08,  0.1732880E+09,  0.5782716E+02,  0.2451654E+07,  0.0000000E+00,  0.0000000E+00, -0.6071825E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1011688E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1156245E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1185589E+05,  0.2087337E+05,  0.0000000E+00,    7
10/05/1980,  0.1067527E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.9049443E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3921419E+06,  0.1910271E+03,  0.1002121E+08,  0.1732860E+09,  0.1384998E+03,  0.2451691E+07,  0.0000000E+00,  0.0000000E+00, -0.6071069E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1060539E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1145112E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1177769E+05,  0.2077153E+05,  0.0000000E+00,   16
10/06/1980,  0.1070995E+05,  0.0000000E+00,  0.0000000E+00,  0.2170616E+01,  0.0000000E+00, -0.8923539E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.4024437E+06,  0.6373132E+03,  0.1000055E+08,  0.1732840E+09,  0.6416986E+02,  0.2451722E+07,  0.0000000E+00,  0.0000000E+00, -0.6071148E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1074752E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1099764E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1182499E+05,  0.2069208E+05,  0.0000000E+00,   13
10/07/1980,  0.1069259E+05,  0.0000000E+00,  0.0000000E+00,  0.2622206E+02,  0.0000000E+00, -0.9029670E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.4124057E+06,  0.1313838E+04,  0.9980000E+07,  0.1732819E+09,  0.1403965E+03,  0.2451746E+07,  0.0000000E+00,  0.0000000E+00, -0.6070481E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1081360E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1055137E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1174617E+05,  0.2058504E+05,  0.0000000E+00,   20
10/08/1980,  0.1075039E+05,  0.0000000E+00,  0.0000000E+00,  0.5574752E+02,  0.0000000E+00, -0.8906803E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.4223341E+06,  0.2045527E+04,  0.9959531E+07,  0.1732798E+09,  0.6882019E+02,  0.2451766E+07,  0.0000000E+00,  0.0000000E+00, -0.6070696E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1078888E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1011232E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1179467E+05,  0.2050244E+05,  0.0000000E+00,   13
10/09/1980,  0.1074291E+05,  0.0000000E+00,  0.0000000E+00,  0.9144801E+02,  0.0000000E+00, -0.9010764E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.4323687E+06,  0.2586946E+04,  0.9939165E+07,  0.1732776E+09,  0.1472225E+03,  0.2451782E+07,  0.0000000E+00,  0.0000000E+00, -0.6070073E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1049256E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.9349785E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1171679E+05,  0.2040063E+05,  0.0000000E+00,   18
10/10/1980,  0.1080768E+05,  0.0000000E+00,  0.0000000E+00,  0.1339715E+03,  0.0000000E+00, -0.8886599E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.4423517E+06,  0.3259827E+04,  0.9918871E+07,  0.1732754E+09,  0.7790244E+02,  0.2451803E+07,  0.0000000E+00,  0.0000000E+00, -0.6070308E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.9761930E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.8438999E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1176607E+05,  0.2032698E+05,  0.0000000E+00,   13
10/11/1980,  0.1080201E+05,  0.0000000E+00,  0.0000000E+00,  0.1776831E+03,  0.0000000E+00, -0.8989860E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.4523169E+06,  0.3763116E+04,  0.9898685E+07,  0.1732731E+09,  0.1581451E+03,  0.2451818E+07,  0.0000000E+00,  0.0000000E+00, -0.6069671E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1042742E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.8676796E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1168883E+05,  0.2021981E+05,  0.0000000E+00,   19
10/12/1980,  0.1103980E+05,  0.1512036E+03,  0.0000000E+00,  0.5611765E+03,  0.0000000E+00, -0.8811081E+04,  0.4615212E+05,  0.4943717E+05,  0.0000000E+00,  0.0000000E+00,  0.8208225E+06,  0.2239451E+05,  0.9878582E+07,  0.1732708E+09,  0.1041247E+03,  0.2457275E+07,  0.0000000E+00,  0.4833713E+06, -0.6071220E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2028760E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.6674262E+02,  0.1091451E+02,  0.6664008E+01,  0.0000000E+00,  0.0000000E+00,  0.1444098E+02,  0.1174421E+05,  0.2014994E+05,  0.3780081E+06,   13
