CASCADE_ID,HRU_UP_ID,CASCADE_TYPE_UP,UP_ROW,UP_COL,UP_X,UP_Y,HRU_DOWN_ID,CASCADE_TYPE_DOWN,DOWN_ROW,DOWN_COL,DOWN_X,DOWN_Y,CASC_PCT,HRU_STRM_SEG_DOWN,HRU_RCH_DOWN
         1,        52,1,         1,        52,   218997.7968750000,  4373144.0000000000,       131,1,         2,        52,   218997.7968750000,  4373054.0000000000,0.500000000000,         0,         0
         2,        52,1,         1,        52,   218997.7968750000,  4373144.0000000000,        53,1,         1,        53,   219087.7968750000,  4373144.0000000000,0.500000000000,         0,         0
         3,        53,1,         1,        53,   219087.7968750000,  4373144.0000000000,       132,1,         2,        53,   219087.7968750000,  4373054.0000000000,1.000000000000,         0,         0
         4,       131,1,         2,        52,   218997.7968750000,  4373054.0000000000,       210,1,         3,        52,   218997.7968750000,  4372964.0000000000,0.500000000000,         0,         0
         5,       131,1,         2,        52,   218997.7968750000,  4373054.0000000000,       132,1,         2,        53,   219087.7968750000,  4373054.0000000000,0.500000000000,         0,         0
         6,       132,1,         2,        53,   219087.7968750000,  4373054.0000000000,       211,1,         3,        53,   219087.7968750000,  4372964.0000000000,0.500000000000,         0,         0
         7,       132,1,         2,        53,   219087.7968750000,  4373054.0000000000,       133,1,         2,        54,   219177.7968750000,  4373054.0000000000,0.500000000000,         0,         0
         8,       133,1,         2,        54,   219177.7968750000,  4373054.0000000000,       212,1,         3,        54,   219177.7968750000,  4372964.0000000000,1.000000000000,         0,         0
         9,       210,1,         3,        52,   218997.7968750000,  4372964.0000000000,       289,1,         4,        52,   218997.7968750000,  4372874.0000000000,0.500000000000,         0,         0
        10,       210,1,         3,        52,   218997.7968750000,  4372964.0000000000,       211,1,         3,        53,   219087.7968750000,  4372964.0000000000,0.500000000000,         0,         0
        11,       211,1,         3,        53,   219087.7968750000,  4372964.0000000000,       290,1,         4,        53,   219087.7968750000,  4372874.0000000000,0.500000000000,         0,         0
        12,       211,1,         3,        53,   219087.7968750000,  4372964.0000000000,       212,1,         3,        54,   219177.7968750000,  4372964.0000000000,0.500000000000,         0,         0
        13,       212,1,         3,        54,   219177.7968750000,  4372964.0000000000,       291,1,         4,        54,   219177.7968750000,  4372874.0000000000,1.000000000000,         0,         0
        14,       289,1,         4,        52,   218997.7968750000,  4372874.0000000000,       368,1,         5,        52,   218997.7968750000,  4372784.0000000000,0.500000000000,         0,         0
        15,       289,1,         4,        52,   218997.7968750000,  4372874.0000000000,       290,1,         4,        53,   219087.7968750000,  4372874.0000000000,0.500000000000,         0,         0
        16,       290,1,         4,        53,   219087.7968750000,  4372874.0000000000,       369,1,         5,        53,   219087.7968750000,  4372784.0000000000,0.500000000000,         0,         0
        17,       290,1,         4,        53,   219087.7968750000,  4372874.0000000000,       291,1,         4,        54,   219177.7968750000,  4372874.0000000000,0.500000000000,         0,         0
