 "GAGE No.  3:  K,I,J Coord. =   1, 44, 76;  STREAM SEGMENT =  14;  REACH =   6 "
     "DATA: Time           Stage            Flow"
     1.0000000E+00   1.9365546E+03   7.1544771E+03
     2.0000000E+00   1.9365538E+03   6.9873633E+03
     3.0000000E+00   1.9365533E+03   6.8989360E+03
     4.0000000E+00   1.9365531E+03   6.8478843E+03
     5.0000000E+00   1.9365530E+03   6.8191602E+03
     6.0000000E+00   1.9365529E+03   6.8003735E+03
     7.0000000E+00   1.9365529E+03   6.7885293E+03
     8.0000000E+00   1.9365529E+03   6.7793423E+03
     9.0000000E+00   1.9365527E+03   6.7705913E+03
     1.0000000E+01   1.9365527E+03   6.7617114E+03
     1.1000000E+01   1.9365526E+03   6.7508447E+03
     1.2000000E+01   1.9365526E+03   6.7375859E+03
     1.3000000E+01   1.9365734E+03   1.1743768E+04
     1.4000000E+01   1.9365610E+03   8.6479902E+03
     1.5000000E+01   1.9365598E+03   8.3461035E+03
     1.6000000E+01   1.9365569E+03   7.6929780E+03
     1.7000000E+01   1.9365579E+03   7.8984712E+03
     1.8000000E+01   1.9365596E+03   8.2862012E+03
     1.9000000E+01   1.9365610E+03   8.6460186E+03
     2.0000000E+01   1.9365581E+03   7.9634150E+03
     2.1000000E+01   1.9365571E+03   7.7252603E+03
     2.2000000E+01   1.9365564E+03   7.5685176E+03
     2.3000000E+01   1.9365559E+03   7.4481631E+03
     2.4000000E+01   1.9365554E+03   7.3550024E+03
     2.5000000E+01   1.9365551E+03   7.2666978E+03
     2.6000000E+01   1.9365643E+03   9.4363135E+03
     2.7000000E+01   1.9365635E+03   9.2193896E+03
     2.8000000E+01   1.9365605E+03   8.5246924E+03
     2.9000000E+01   1.9365598E+03   8.3511299E+03
     3.0000000E+01   1.9365593E+03   8.2517754E+03
     3.1000000E+01   1.9365588E+03   8.1279053E+03
     3.2000000E+01   1.9365583E+03   8.0098159E+03
     3.3000000E+01   1.9365577E+03   7.8692241E+03
     3.4000000E+01   1.9365570E+03   7.7201157E+03
     3.5000000E+01   1.9365564E+03   7.5848394E+03
     3.6000000E+01   1.9365558E+03   7.4404922E+03
     3.7000000E+01   1.9365552E+03   7.3021514E+03
     3.8000000E+01   1.9365547E+03   7.1909019E+03
     3.9000000E+01   1.9365573E+03   7.7522402E+03
     4.0000000E+01   1.9365651E+03   9.6230244E+03
     4.1000000E+01   1.9365588E+03   8.1212036E+03
     4.2000000E+01   1.9365579E+03   7.9179062E+03
     4.3000000E+01   1.9365685E+03   1.0497946E+04
     4.4000000E+01   1.9365618E+03   8.8311348E+03
     4.5000000E+01   1.9365612E+03   8.6909590E+03
     4.6000000E+01   1.9365612E+03   8.6657871E+03
     4.7000000E+01   1.9365613E+03   8.7049551E+03
     4.8000000E+01   1.9365615E+03   8.7720947E+03
     4.9000000E+01   1.9365619E+03   8.8529697E+03
     5.0000000E+01   1.9365624E+03   8.9759805E+03
     5.1000000E+01   1.9365624E+03   8.9790791E+03
     5.2000000E+01   1.9365624E+03   8.9789414E+03
     5.3000000E+01   1.9365624E+03   8.9750615E+03
     5.4000000E+01   1.9365624E+03   8.9664287E+03
     5.5000000E+01   1.9365623E+03   8.9562021E+03
     5.6000000E+01   1.9365625E+03   8.9988330E+03
     5.7000000E+01   1.9365626E+03   9.0523311E+03
     5.8000000E+01   1.9365630E+03   9.1416543E+03
     5.9000000E+01   1.9365635E+03   9.2425127E+03
     6.0000000E+01   1.9365635E+03   9.2465195E+03
     6.1000000E+01   1.9365629E+03   9.1015078E+03
     6.2000000E+01   1.9365709E+03   1.1127647E+04
     6.3000000E+01   1.9365717E+03   1.1317951E+04
     6.4000000E+01   1.9365739E+03   1.1903505E+04
     6.5000000E+01   1.9365710E+03   1.1177766E+04
     6.6000000E+01   1.9365709E+03   1.1130106E+04
     6.7000000E+01   1.9365712E+03   1.1187223E+04
     6.8000000E+01   1.9365715E+03   1.1295064E+04
     6.9000000E+01   1.9365720E+03   1.1434507E+04
     7.0000000E+01   1.9365726E+03   1.1584074E+04
     7.1000000E+01   1.9365732E+03   1.1737687E+04
     7.2000000E+01   1.9365737E+03   1.1889216E+04
     7.3000000E+01   1.9365743E+03   1.2032227E+04
     7.4000000E+01   1.9365748E+03   1.2170317E+04
     7.5000000E+01   1.9365756E+03   1.2392667E+04
     7.6000000E+01   1.9365784E+03   1.3162341E+04
     7.7000000E+01   1.9365894E+03   1.6377629E+04
     7.8000000E+01   1.9366029E+03   2.0728637E+04
     7.9000000E+01   1.9366167E+03   2.5570639E+04
     8.0000000E+01   1.9366200E+03   2.6798232E+04
     8.1000000E+01   1.9366282E+03   2.9908457E+04
     8.2000000E+01   1.9366306E+03   3.0863988E+04
     8.3000000E+01   1.9366184E+03   2.6173240E+04
     8.4000000E+01   1.9366481E+03   3.8027875E+04
     8.5000000E+01   1.9366246E+03   2.8524061E+04
     8.6000000E+01   1.9366301E+03   3.0627311E+04
     8.7000000E+01   1.9366459E+03   3.7067426E+04
     8.8000000E+01   1.9366469E+03   3.7464508E+04
     8.9000000E+01   1.9366443E+03   3.6381809E+04
     9.0000000E+01   1.9366332E+03   3.1834510E+04
     9.1000000E+01   1.9366216E+03   2.7327367E+04
     9.2000000E+01   1.9366127E+03   2.4101217E+04
     9.3000000E+01   1.9366046E+03   2.1273203E+04
     9.4000000E+01   1.9365981E+03   1.9143268E+04
     9.5000000E+01   1.9365940E+03   1.7805588E+04
     9.6000000E+01   1.9365933E+03   1.7568982E+04
     9.7000000E+01   1.9365959E+03   1.8420488E+04
     9.8000000E+01   1.9365931E+03   1.7516135E+04
     9.9000000E+01   1.9365931E+03   1.7526646E+04
     1.0000000E+02   1.9365974E+03   1.8889316E+04
